 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;0.000
05:45;0.000
06:00;0.000
06:15;0.054
06:30;0.132
06:45;0.178
07:00;0.152
07:15;0.216
07:30;0.401
07:45;0.665
08:00;1.006
08:15;1.339
08:30;1.751
08:45;1.980
09:00;1.829
09:15;2.334
09:30;2.118
09:45;1.423
10:00;2.036
10:15;2.050
10:30;1.747
10:45;2.654
11:00;4.065
11:15;3.475
11:30;5.041
11:45;5.012
12:00;4.082
12:15;0.980
12:30;3.986
12:45;3.804
13:00;4.751
13:15;4.831
13:30;4.800
13:45;4.586
14:00;5.026
14:15;4.829
14:30;3.966
14:45;2.496
15:00;1.385
15:15;0.306
15:30;0.969
15:45;2.025
16:00;2.002
16:15;2.335
16:30;2.997
16:45;3.063
17:00;2.938
17:15;3.118
17:30;2.446
17:45;2.552
18:00;1.498
18:15;2.147
18:30;1.712
18:45;1.197
19:00;1.094
19:15;0.948
19:30;0.582
19:45;0.449
20:00;0.457
20:15;0.409
20:30;0.260
20:45;0.212
21:00;0.172
21:15;0.146
21:30;0.091
21:45;0.061
22:00;0.031
22:15;0.005
22:30;0.000
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
