 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;0.000
07:00;0.000
07:15;0.041
07:30;0.107
07:45;0.285
08:00;0.481
08:15;0.712
08:30;1.031
08:45;1.393
09:00;1.956
09:15;2.378
09:30;2.827
09:45;3.370
10:00;3.780
10:15;4.178
10:30;4.647
10:45;4.823
11:00;5.022
11:15;5.021
11:30;5.022
11:45;5.022
12:00;5.022
12:15;5.022
12:30;5.030
12:45;5.027
13:00;5.042
13:15;5.038
13:30;5.042
13:45;5.042
14:00;5.040
14:15;5.042
14:30;5.042
14:45;5.042
15:00;5.042
15:15;5.046
15:30;5.045
15:45;5.040
16:00;5.023
16:15;4.860
16:30;4.518
16:45;4.144
17:00;3.766
17:15;3.369
17:30;2.867
17:45;2.479
18:00;2.044
18:15;1.600
18:30;1.179
18:45;0.825
19:00;0.555
19:15;0.387
19:30;0.330
19:45;0.289
20:00;0.242
20:15;0.178
20:30;0.108
20:45;0.061
21:00;0.014
21:15;0.000
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
