 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;0.000
06:45;0.000
07:00;0.011
07:15;0.068
07:30;0.166
07:45;0.322
08:00;0.496
08:15;0.523
08:30;1.047
08:45;1.151
09:00;0.768
09:15;0.710
09:30;1.878
09:45;2.968
10:00;2.262
10:15;2.074
10:30;3.699
10:45;3.961
11:00;4.169
11:15;4.432
11:30;4.576
11:45;4.798
12:00;4.932
12:15;4.494
12:30;5.023
12:45;5.025
13:00;5.024
13:15;5.025
13:30;5.026
13:45;5.028
14:00;5.030
14:15;5.031
14:30;5.028
14:45;5.028
15:00;5.003
15:15;4.756
15:30;4.848
15:45;4.612
16:00;4.348
16:15;4.126
16:30;3.801
16:45;3.542
17:00;3.263
17:15;2.981
17:30;2.491
17:45;2.375
18:00;2.023
18:15;1.680
18:30;1.274
18:45;0.978
19:00;0.752
19:15;0.642
19:30;0.592
19:45;0.496
20:00;0.418
20:15;0.338
20:30;0.267
20:45;0.180
21:00;0.096
21:15;0.050
21:30;0.005
21:45;0.000
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
