 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;
08:30;
08:45;0.000
09:00;0.000
09:15;0.002
09:30;0.051
09:45;0.163
10:00;0.372
10:15;0.491
10:30;0.327
10:45;2.193
11:00;2.462
11:15;2.975
11:30;3.366
11:45;0.806
12:00;0.718
12:15;2.301
12:30;0.683
12:45;0.278
13:00;1.406
13:15;0.596
13:30;0.728
13:45;0.617
14:00;0.236
14:15;0.311
14:30;0.250
14:45;0.081
15:00;0.264
15:15;0.480
15:30;0.267
15:45;0.325
16:00;0.292
16:15;0.212
16:30;0.172
16:45;0.044
17:00;0.013
17:15;0.000
17:30;
17:45;
18:00;
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
