 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0.000
06:15;0.000
06:30;0.000
06:45;0.000
07:00;0.047
07:15;0.099
07:30;0.143
07:45;0.354
08:00;0.674
08:15;0.408
08:30;0.698
08:45;0.713
09:00;1.655
09:15;0.669
09:30;1.119
09:45;0.671
10:00;1.331
10:15;1.612
10:30;2.990
10:45;1.880
11:00;2.782
11:15;2.047
11:30;2.820
11:45;3.791
12:00;4.340
12:15;2.685
12:30;3.376
12:45;3.854
13:00;3.556
13:15;3.342
13:30;4.598
13:45;2.958
14:00;3.351
14:15;4.600
14:30;3.944
14:45;3.721
15:00;4.813
15:15;4.354
15:30;4.413
15:45;4.366
16:00;3.714
16:15;4.986
16:30;4.569
16:45;4.393
17:00;3.968
17:15;3.582
17:30;3.130
17:45;2.708
18:00;2.149
18:15;1.746
18:30;1.328
18:45;0.902
19:00;0.642
19:15;0.472
19:30;0.427
19:45;0.361
20:00;0.283
20:15;0.253
20:30;0.207
20:45;0.146
21:00;0.088
21:15;0.045
21:30;0.012
21:45;0.000
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
