 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;0.000
06:45;0.000
07:00;0.023
07:15;0.083
07:30;0.191
07:45;0.346
08:00;0.599
08:15;0.909
08:30;1.167
08:45;1.421
09:00;1.887
09:15;2.309
09:30;2.712
09:45;3.105
10:00;3.565
10:15;3.896
10:30;4.258
10:45;4.517
11:00;4.925
11:15;4.987
11:30;5.026
11:45;5.044
12:00;5.046
12:15;5.046
12:30;5.041
12:45;4.847
13:00;5.047
13:15;5.048
13:30;5.054
13:45;5.051
14:00;5.062
14:15;5.059
14:30;4.959
14:45;4.817
15:00;4.707
15:15;4.320
15:30;4.142
15:45;4.780
16:00;2.979
16:15;3.549
16:30;3.474
16:45;2.270
17:00;2.931
17:15;2.841
17:30;2.836
17:45;2.322
18:00;2.030
18:15;1.614
18:30;1.139
18:45;0.843
19:00;0.569
19:15;0.412
19:30;0.357
19:45;0.324
20:00;0.297
20:15;0.232
20:30;0.184
20:45;0.108
21:00;0.041
21:15;0.004
21:30;0.000
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
