 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;
08:30;0.000
08:45;0.000
09:00;0.000
09:15;0.000
09:30;0.039
09:45;0.094
10:00;0.173
10:15;0.166
10:30;0.285
10:45;0.273
11:00;0.246
11:15;0.363
11:30;0.458
11:45;0.486
12:00;0.387
12:15;0.402
12:30;0.390
12:45;0.345
13:00;0.338
13:15;0.307
13:30;0.325
13:45;0.322
14:00;0.349
14:15;0.233
14:30;0.213
14:45;0.248
15:00;0.216
15:15;0.234
15:30;0.214
15:45;0.203
16:00;0.121
16:15;0.112
16:30;0.070
16:45;0.067
17:00;0.033
17:15;0.008
17:30;0.001
17:45;0.000
18:00;0.000
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
