 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;0.000
06:30;0.000
06:45;0.015
07:00;0.081
07:15;0.168
07:30;0.284
07:45;0.494
08:00;0.742
08:15;0.950
08:30;1.225
08:45;1.603
09:00;2.076
09:15;2.408
09:30;2.695
09:45;3.267
10:00;3.601
10:15;4.070
10:30;4.346
10:45;4.625
11:00;4.741
11:15;4.981
11:30;4.987
11:45;4.812
12:00;4.912
12:15;5.022
12:30;5.004
12:45;5.022
13:00;5.022
13:15;5.020
13:30;5.023
13:45;5.016
14:00;3.776
14:15;3.044
14:30;2.823
14:45;2.503
15:00;2.993
15:15;4.136
15:30;3.905
15:45;2.924
16:00;1.750
16:15;1.869
16:30;2.692
16:45;2.251
17:00;2.067
17:15;1.743
17:30;1.671
17:45;1.586
18:00;1.560
18:15;1.451
18:30;1.244
18:45;1.424
19:00;0.905
19:15;0.718
19:30;0.735
19:45;0.660
20:00;0.676
20:15;0.583
20:30;0.382
20:45;0.323
21:00;0.155
21:15;0.081
21:30;0.008
21:45;0.000
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
