 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;0.000
08:30;0.000
08:45;0.024
09:00;0.071
09:15;0.129
09:30;0.167
09:45;0.284
10:00;0.350
10:15;0.580
10:30;1.002
10:45;1.367
11:00;1.178
11:15;1.575
11:30;2.760
11:45;2.384
12:00;2.262
12:15;1.925
12:30;1.976
12:45;1.895
13:00;1.866
13:15;1.938
13:30;2.278
13:45;2.140
14:00;1.969
14:15;1.852
14:30;1.439
14:45;1.279
15:00;1.327
15:15;1.249
15:30;1.144
15:45;1.052
16:00;1.018
16:15;0.863
16:30;0.776
16:45;0.610
17:00;0.510
17:15;0.423
17:30;0.358
17:45;0.310
18:00;0.133
18:15;0.127
18:30;0.109
18:45;0.057
19:00;0.015
19:15;0.000
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
