 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;0.000
05:45;0.000
06:00;0.002
06:15;0.043
06:30;0.078
06:45;0.113
07:00;0.156
07:15;0.234
07:30;0.495
07:45;0.762
08:00;1.139
08:15;1.547
08:30;1.883
08:45;2.167
09:00;2.456
09:15;2.918
09:30;3.334
09:45;3.588
10:00;4.001
10:15;4.320
10:30;4.542
10:45;4.812
11:00;5.010
11:15;5.034
11:30;5.032
11:45;5.035
12:00;5.036
12:15;5.035
12:30;5.038
12:45;5.038
13:00;5.036
13:15;5.027
13:30;5.032
13:45;5.034
14:00;5.043
14:15;5.049
14:30;5.050
14:45;5.048
15:00;5.047
15:15;4.796
15:30;4.244
15:45;3.474
16:00;4.381
16:15;4.976
16:30;4.887
16:45;3.785
17:00;4.246
17:15;3.329
17:30;3.320
17:45;2.990
18:00;1.319
18:15;1.016
18:30;1.202
18:45;1.258
19:00;1.022
19:15;0.987
19:30;0.653
19:45;0.528
20:00;0.449
20:15;0.244
20:30;0.207
20:45;0.105
21:00;0.080
21:15;0.098
21:30;0.023
21:45;0.000
22:00;0.000
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
