 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;0.000
07:00;0.014
07:15;0.079
07:30;0.226
07:45;0.373
08:00;0.801
08:15;1.200
08:30;1.602
08:45;2.031
09:00;2.473
09:15;2.898
09:30;3.351
09:45;3.726
10:00;4.102
10:15;4.447
10:30;4.771
10:45;4.972
11:00;5.014
11:15;5.014
11:30;5.018
11:45;5.023
12:00;5.034
12:15;5.033
12:30;5.033
12:45;5.036
13:00;5.035
13:15;5.033
13:30;5.034
13:45;5.037
14:00;5.040
14:15;5.040
14:30;5.043
14:45;5.019
15:00;4.784
15:15;4.479
15:30;4.098
15:45;3.813
16:00;3.366
16:15;3.044
16:30;2.636
16:45;2.234
17:00;1.832
17:15;1.441
17:30;1.069
17:45;0.768
18:00;0.536
18:15;0.362
18:30;0.260
18:45;0.184
19:00;0.093
19:15;0.034
19:30;0.000
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
