 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;0.000
06:45;0.000
07:00;0.016
07:15;0.058
07:30;0.135
07:45;0.248
08:00;0.393
08:15;0.615
08:30;0.844
08:45;1.096
09:00;1.428
09:15;1.816
09:30;2.157
09:45;2.613
10:00;2.679
10:15;1.801
10:30;3.549
10:45;3.967
11:00;4.251
11:15;4.461
11:30;3.602
11:45;4.207
12:00;4.901
12:15;3.955
12:30;4.937
12:45;5.028
13:00;5.027
13:15;5.032
13:30;5.035
13:45;5.031
14:00;4.791
14:15;5.030
14:30;4.742
14:45;3.642
15:00;2.301
15:15;3.542
15:30;4.409
15:45;4.845
16:00;4.543
16:15;4.315
16:30;4.062
16:45;3.790
17:00;3.355
17:15;3.085
17:30;2.727
17:45;2.397
18:00;2.030
18:15;
18:30;
18:45;1.026
19:00;0.752
19:15;0.572
19:30;0.487
19:45;0.436
20:00;0.414
20:15;0.295
20:30;0.259
20:45;0.175
21:00;0.079
21:15;0.012
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
