 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;0.000
06:45;0.000
07:00;0.017
07:15;0.072
07:30;0.133
07:45;0.534
08:00;1.044
08:15;1.513
08:30;2.048
08:45;2.362
09:00;2.823
09:15;3.240
09:30;3.669
09:45;4.145
10:00;4.526
10:15;4.858
10:30;5.014
10:45;5.013
11:00;5.016
11:15;5.015
11:30;5.024
11:45;5.034
12:00;5.036
12:15;5.033
12:30;5.034
12:45;5.036
13:00;5.036
13:15;5.037
13:30;5.042
13:45;5.040
14:00;5.038
14:15;5.040
14:30;5.041
14:45;5.042
15:00;5.043
15:15;4.948
15:30;4.608
15:45;4.274
16:00;3.784
16:15;3.422
16:30;2.945
16:45;2.494
17:00;2.030
17:15;1.601
17:30;1.141
17:45;0.750
18:00;0.441
18:15;0.323
18:30;0.237
18:45;0.162
19:00;0.090
19:15;0.031
19:30;0.000
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
