 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0.000
06:15;0.000
06:30;0.000
06:45;0.020
07:00;0.056
07:15;0.108
07:30;0.245
07:45;0.352
08:00;0.546
08:15;0.573
08:30;0.578
08:45;0.968
09:00;1.582
09:15;2.148
09:30;2.346
09:45;1.513
10:00;1.627
10:15;2.063
10:30;2.149
10:45;2.057
11:00;2.207
11:15;2.756
11:30;2.902
11:45;3.435
12:00;2.480
12:15;2.710
12:30;2.895
12:45;4.533
13:00;3.681
13:15;4.195
13:30;4.164
13:45;4.459
14:00;4.647
14:15;4.634
14:30;4.436
14:45;4.844
15:00;4.195
15:15;3.530
15:30;4.697
15:45;4.456
16:00;4.902
16:15;4.159
16:30;4.390
16:45;4.004
17:00;3.778
17:15;3.441
17:30;3.086
17:45;2.702
18:00;2.324
18:15;1.914
18:30;1.448
18:45;1.148
19:00;0.778
19:15;0.750
19:30;0.641
19:45;0.401
20:00;0.556
20:15;0.464
20:30;0.348
20:45;0.308
21:00;0.218
21:15;0.113
21:30;0.069
21:45;0.038
22:00;0.007
22:15;0.000
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
