 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;0.000
07:00;0.012
07:15;0.063
07:30;0.117
07:45;0.460
08:00;1.071
08:15;1.633
08:30;2.189
08:45;2.559
09:00;3.039
09:15;3.444
09:30;3.777
09:45;4.335
10:00;4.712
10:15;4.951
10:30;5.021
10:45;5.019
11:00;5.019
11:15;5.017
11:30;5.015
11:45;5.015
12:00;5.032
12:15;5.032
12:30;5.034
12:45;5.034
13:00;5.033
13:15;5.033
13:30;5.036
13:45;5.036
14:00;5.034
14:15;5.034
14:30;5.036
14:45;5.036
15:00;5.038
15:15;4.972
15:30;4.717
15:45;4.346
16:00;3.958
16:15;3.545
16:30;3.084
16:45;2.609
17:00;2.044
17:15;1.635
17:30;1.153
17:45;0.611
18:00;0.418
18:15;0.265
18:30;0.211
18:45;0.151
19:00;0.063
19:15;0.028
19:30;0.001
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
