 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0.000
06:15;0.000
06:30;0.022
06:45;0.073
07:00;0.126
07:15;0.208
07:30;0.314
07:45;0.629
08:00;0.847
08:15;1.041
08:30;1.435
08:45;1.838
09:00;2.293
09:15;2.624
09:30;2.757
09:45;2.224
10:00;4.008
10:15;3.968
10:30;2.001
10:45;2.430
11:00;1.863
11:15;2.330
11:30;2.225
11:45;1.867
12:00;1.230
12:15;1.302
12:30;1.636
12:45;1.893
13:00;2.217
13:15;2.341
13:30;2.753
13:45;4.199
14:00;5.043
14:15;4.044
14:30;3.668
14:45;3.400
15:00;3.412
15:15;3.773
15:30;4.077
15:45;4.221
16:00;5.033
16:15;4.436
16:30;4.771
16:45;4.387
17:00;4.097
17:15;3.905
17:30;2.844
17:45;2.186
18:00;1.295
18:15;1.253
18:30;1.358
18:45;0.892
19:00;0.943
19:15;0.562
19:30;0.646
19:45;0.422
20:00;0.307
20:15;0.249
20:30;0.278
20:45;0.187
21:00;0.100
21:15;0.054
21:30;0.016
21:45;0.000
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
