 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;0.000
06:00;0.000
06:15;0.006
06:30;0.044
06:45;0.078
07:00;0.111
07:15;0.161
07:30;0.289
07:45;0.563
08:00;0.968
08:15;1.317
08:30;1.545
08:45;1.903
09:00;2.268
09:15;2.665
09:30;3.044
09:45;2.998
10:00;3.945
10:15;4.303
10:30;2.404
10:45;4.958
11:00;5.018
11:15;4.562
11:30;3.131
11:45;3.500
12:00;3.651
12:15;3.635
12:30;4.359
12:45;2.412
13:00;3.772
13:15;2.963
13:30;2.633
13:45;3.045
14:00;2.208
14:15;2.384
14:30;2.663
14:45;3.837
15:00;3.489
15:15;3.183
15:30;2.603
15:45;2.873
16:00;2.023
16:15;2.445
16:30;3.479
16:45;4.301
17:00;3.953
17:15;3.492
17:30;3.206
17:45;2.702
18:00;2.195
18:15;1.799
18:30;1.187
18:45;1.193
19:00;0.959
19:15;0.624
19:30;0.435
19:45;0.392
20:00;0.367
20:15;0.331
20:30;0.306
20:45;0.277
21:00;0.230
21:15;0.177
21:30;0.103
21:45;0.060
22:00;0.023
22:15;0.000
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
