 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;0.000
06:45;0.000
07:00;0.010
07:15;0.058
07:30;0.149
07:45;0.317
08:00;0.558
08:15;0.822
08:30;1.123
08:45;1.453
09:00;2.021
09:15;2.421
09:30;2.846
09:45;3.256
10:00;3.769
10:15;4.138
10:30;4.613
10:45;4.753
11:00;5.009
11:15;5.021
11:30;5.019
11:45;5.020
12:00;5.019
12:15;5.021
12:30;5.020
12:45;5.022
13:00;5.022
13:15;5.021
13:30;5.021
13:45;5.020
14:00;5.029
14:15;5.026
14:30;5.031
14:45;5.028
15:00;5.031
15:15;5.026
15:30;5.023
15:45;5.011
16:00;4.835
16:15;4.567
16:30;4.226
16:45;3.951
17:00;3.574
17:15;3.161
17:30;2.822
17:45;2.371
18:00;2.004
18:15;1.602
18:30;1.142
18:45;0.855
19:00;0.596
19:15;0.433
19:30;0.378
19:45;0.333
20:00;0.240
20:15;0.273
20:30;0.223
20:45;0.145
21:00;0.044
21:15;0.000
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
