 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0.000
06:15;0.000
06:30;0.025
06:45;0.101
07:00;0.164
07:15;0.320
07:30;0.368
07:45;0.378
08:00;0.303
08:15;0.382
08:30;0.350
08:45;0.369
09:00;0.521
09:15;0.522
09:30;0.477
09:45;0.654
10:00;1.009
10:15;0.971
10:30;1.274
10:45;0.658
11:00;1.462
11:15;1.741
11:30;1.183
11:45;1.315
12:00;1.469
12:15;1.328
12:30;2.353
12:45;3.663
13:00;2.827
13:15;2.910
13:30;3.025
13:45;2.283
14:00;3.060
14:15;3.325
14:30;3.218
14:45;3.625
15:00;3.068
15:15;3.964
15:30;2.770
15:45;3.215
16:00;3.464
16:15;4.150
16:30;2.304
16:45;3.220
17:00;3.312
17:15;3.561
17:30;1.800
17:45;2.134
18:00;1.246
18:15;1.151
18:30;0.945
18:45;0.561
19:00;0.400
19:15;0.275
19:30;0.374
19:45;0.318
20:00;0.460
20:15;0.365
20:30;0.234
20:45;0.065
21:00;0.054
21:15;0.050
21:30;0.066
21:45;0.007
22:00;0.000
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
