 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;0.000
08:00;0.000
08:15;0.000
08:30;0.000
08:45;0.000
09:00;0.043
09:15;0.061
09:30;0.044
09:45;0.320
10:00;0.350
10:15;0.272
10:30;0.349
10:45;0.192
11:00;0.154
11:15;0.146
11:30;0.287
11:45;0.330
12:00;0.302
12:15;0.467
12:30;0.349
12:45;0.527
13:00;0.695
13:15;0.754
13:30;1.035
13:45;0.679
14:00;0.802
14:15;0.498
14:30;0.503
14:45;0.576
15:00;0.309
15:15;0.206
15:30;0.423
15:45;0.239
16:00;0.295
16:15;0.273
16:30;2.821
16:45;3.634
17:00;3.311
17:15;2.839
17:30;2.138
17:45;1.257
18:00;1.063
18:15;0.998
18:30;0.458
18:45;0.508
19:00;0.181
19:15;0.053
19:30;0.043
19:45;0.002
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
