 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;0.000
06:45;0.000
07:00;0.085
07:15;0.081
07:30;0.052
07:45;0.102
08:00;0.219
08:15;0.215
08:30;0.262
08:45;0.278
09:00;0.596
09:15;1.132
09:30;0.956
09:45;0.861
10:00;1.160
10:15;1.382
10:30;1.199
10:45;1.449
11:00;1.197
11:15;1.863
11:30;2.130
11:45;3.118
12:00;2.761
12:15;2.382
12:30;3.917
12:45;4.294
13:00;4.092
13:15;3.911
13:30;4.827
13:45;4.496
14:00;4.194
14:15;4.747
14:30;4.226
14:45;4.131
15:00;3.533
15:15;4.431
15:30;3.704
15:45;3.184
16:00;3.815
16:15;4.335
16:30;2.707
16:45;3.799
17:00;3.135
17:15;2.270
17:30;2.603
17:45;2.234
18:00;2.391
18:15;1.936
18:30;1.930
18:45;1.204
19:00;0.875
19:15;0.681
19:30;0.723
19:45;0.789
20:00;0.665
20:15;0.544
20:30;0.437
20:45;0.317
21:00;0.242
21:15;0.161
21:30;0.096
21:45;0.070
22:00;0.025
22:15;0.002
22:30;0.000
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
