 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;0.000
06:00;0.000
06:15;0.004
06:30;0.047
06:45;0.090
07:00;0.138
07:15;0.225
07:30;0.396
07:45;0.729
08:00;0.986
08:15;1.004
08:30;1.457
08:45;1.664
09:00;2.130
09:15;2.532
09:30;2.729
09:45;3.174
10:00;3.282
10:15;3.824
10:30;4.304
10:45;4.568
11:00;4.621
11:15;4.709
11:30;4.405
11:45;4.984
12:00;4.753
12:15;4.851
12:30;4.636
12:45;4.971
13:00;4.606
13:15;4.919
13:30;5.027
13:45;4.929
14:00;5.032
14:15;5.035
14:30;5.034
14:45;5.033
15:00;5.026
15:15;4.989
15:30;5.026
15:45;4.002
16:00;4.230
16:15;4.155
16:30;3.167
16:45;1.585
17:00;2.683
17:15;3.189
17:30;1.753
17:45;0.809
18:00;0.753
18:15;2.099
18:30;1.467
18:45;0.987
19:00;0.698
19:15;0.485
19:30;0.415
19:45;0.360
20:00;0.371
20:15;0.297
20:30;0.217
20:45;0.195
21:00;0.152
21:15;0.128
21:30;0.076
21:45;0.014
22:00;0.000
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
