 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;0.000
07:45;0.001
08:00;0.080
08:15;0.120
08:30;0.157
08:45;0.310
09:00;0.698
09:15;0.958
09:30;1.459
09:45;1.776
10:00;1.501
10:15;1.512
10:30;1.560
10:45;1.607
11:00;1.772
11:15;2.130
11:30;3.779
11:45;4.576
12:00;4.788
12:15;5.017
12:30;5.021
12:45;5.034
13:00;5.044
13:15;5.038
13:30;5.037
13:45;4.994
14:00;4.975
14:15;4.917
14:30;4.674
14:45;4.437
15:00;4.093
15:15;3.898
15:30;2.114
15:45;1.206
16:00;1.195
16:15;0.881
16:30;0.712
16:45;0.620
17:00;0.382
17:15;0.308
17:30;0.141
17:45;0.139
18:00;0.125
18:15;0.053
18:30;0.021
18:45;0.000
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
