 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0.000
06:15;0.000
06:30;0.038
06:45;0.043
07:00;0.180
07:15;0.166
07:30;0.329
07:45;0.641
08:00;0.989
08:15;0.582
08:30;0.455
08:45;1.251
09:00;0.847
09:15;1.167
09:30;0.833
09:45;0.413
10:00;1.589
10:15;3.589
10:30;3.217
10:45;1.799
11:00;1.511
11:15;4.220
11:30;4.253
11:45;4.973
12:00;4.611
12:15;3.943
12:30;1.850
12:45;0.747
13:00;2.458
13:15;1.751
13:30;1.654
13:45;4.423
14:00;3.739
14:15;3.995
14:30;2.796
14:45;3.027
15:00;4.016
15:15;4.995
15:30;3.828
15:45;3.125
16:00;3.895
16:15;3.843
16:30;3.544
16:45;2.753
17:00;3.367
17:15;3.457
17:30;3.320
17:45;2.343
18:00;2.081
18:15;1.849
18:30;1.617
18:45;1.124
19:00;0.732
19:15;0.451
19:30;0.390
19:45;0.564
20:00;0.378
20:15;0.276
20:30;0.197
20:45;0.112
21:00;0.070
21:15;0.036
21:30;0.020
21:45;0.001
22:00;0.000
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
