 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0.000
06:15;0.000
06:30;0.015
06:45;0.061
07:00;0.125
07:15;0.244
07:30;0.286
07:45;0.381
08:00;0.360
08:15;0.323
08:30;0.690
08:45;0.589
09:00;0.784
09:15;1.006
09:30;1.024
09:45;2.494
10:00;2.950
10:15;1.808
10:30;3.635
10:45;3.521
11:00;3.492
11:15;3.087
11:30;4.047
11:45;1.563
12:00;2.748
12:15;4.752
12:30;4.676
12:45;2.599
13:00;0.970
13:15;1.657
13:30;2.428
13:45;1.854
14:00;3.393
14:15;2.562
14:30;2.394
14:45;2.476
15:00;1.496
15:15;1.826
15:30;1.914
15:45;1.331
16:00;0.506
16:15;1.001
16:30;1.255
16:45;1.787
17:00;2.182
17:15;2.934
17:30;1.245
17:45;0.815
18:00;0.414
18:15;0.396
18:30;1.416
18:45;1.552
19:00;1.599
19:15;1.051
19:30;0.785
19:45;0.440
20:00;0.474
20:15;0.437
20:30;0.306
20:45;0.190
21:00;0.204
21:15;0.192
21:30;0.098
21:45;0.037
22:00;0.007
22:15;0.000
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
