 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;0.000
07:30;0.000
07:45;0.029
08:00;0.081
08:15;0.116
08:30;0.164
08:45;0.291
09:00;0.340
09:15;0.279
09:30;0.371
09:45;0.580
10:00;0.571
10:15;0.551
10:30;0.495
10:45;0.756
11:00;0.603
11:15;0.573
11:30;0.620
11:45;0.844
12:00;0.931
12:15;0.870
12:30;0.883
12:45;0.860
13:00;0.620
13:15;0.551
13:30;0.591
13:45;0.555
14:00;0.528
14:15;0.508
14:30;0.477
14:45;0.298
15:00;0.308
15:15;0.393
15:30;0.345
15:45;0.239
16:00;0.309
16:15;0.310
16:30;0.323
16:45;0.292
17:00;0.265
17:15;0.180
17:30;0.163
17:45;0.261
18:00;0.181
18:15;0.209
18:30;0.205
18:45;0.128
19:00;0.095
19:15;0.108
19:30;0.032
19:45;0.017
20:00;0.017
20:15;0.023
20:30;0.001
20:45;0.000
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
