 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;
08:30;0.000
08:45;0.039
09:00;0.053
09:15;0.130
09:30;0.096
09:45;0.111
10:00;0.126
10:15;0.173
10:30;0.348
10:45;0.305
11:00;0.315
11:15;0.256
11:30;0.293
11:45;0.311
12:00;0.430
12:15;0.618
12:30;0.450
12:45;0.532
13:00;0.720
13:15;0.749
13:30;0.672
13:45;0.561
14:00;0.689
14:15;1.076
14:30;0.875
14:45;1.173
15:00;1.217
15:15;1.701
15:30;1.579
15:45;1.266
16:00;1.853
16:15;1.523
16:30;0.889
16:45;0.816
17:00;1.082
17:15;1.185
17:30;0.831
17:45;0.819
18:00;1.510
18:15;1.036
18:30;0.588
18:45;0.414
19:00;0.225
19:15;0.114
19:30;0.027
19:45;0.001
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
