 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;0.000
08:30;0.007
08:45;0.071
09:00;0.089
09:15;0.118
09:30;0.177
09:45;0.225
10:00;0.261
10:15;0.283
10:30;0.368
10:45;0.411
11:00;0.433
11:15;0.517
11:30;0.770
11:45;0.758
12:00;0.721
12:15;0.683
12:30;0.811
12:45;0.600
13:00;0.684
13:15;0.369
13:30;0.843
13:45;0.354
14:00;0.176
14:15;0.193
14:30;0.202
14:45;0.463
15:00;0.416
15:15;0.313
15:30;0.953
15:45;1.304
16:00;0.278
16:15;0.489
16:30;0.189
16:45;0.080
17:00;0.026
17:15;0.001
17:30;0.000
17:45;
18:00;
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
