 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;0.000
06:30;0.000
06:45;0.000
07:00;0.000
07:15;0.000
07:30;0.004
07:45;0.086
08:00;0.137
08:15;0.227
08:30;0.337
08:45;0.202
09:00;0.222
09:15;0.277
09:30;0.339
09:45;0.433
10:00;0.530
10:15;0.638
10:30;0.744
10:45;0.586
11:00;0.356
11:15;0.398
11:30;0.662
11:45;0.713
12:00;0.475
12:15;0.415
12:30;0.480
12:45;0.434
13:00;0.677
13:15;0.714
13:30;0.576
13:45;0.532
14:00;0.700
14:15;1.397
14:30;1.118
14:45;1.215
15:00;0.874
15:15;1.290
15:30;1.441
15:45;0.873
16:00;0.517
16:15;0.844
16:30;0.950
16:45;0.800
17:00;0.998
17:15;0.724
17:30;0.579
17:45;0.265
18:00;0.249
18:15;0.245
18:30;0.268
18:45;0.375
19:00;0.302
19:15;0.251
19:30;0.216
19:45;0.097
20:00;0.150
20:15;0.306
20:30;0.163
20:45;0.073
21:00;0.062
21:15;0.045
21:30;0.064
21:45;0.010
22:00;0.000
22:15;0.000
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
