 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;0.000
05:45;0.000
06:00;0.001
06:15;0.041
06:30;0.079
06:45;0.115
07:00;0.158
07:15;0.255
07:30;0.449
07:45;0.717
08:00;1.052
08:15;1.410
08:30;1.667
08:45;1.530
09:00;2.300
09:15;1.881
09:30;2.683
09:45;2.118
10:00;1.314
10:15;1.419
10:30;1.762
10:45;3.406
11:00;4.499
11:15;4.858
11:30;5.025
11:45;4.806
12:00;4.549
12:15;4.444
12:30;4.882
12:45;5.001
13:00;5.012
13:15;5.011
13:30;5.012
13:45;5.005
14:00;3.794
14:15;3.215
14:30;2.179
14:45;3.181
15:00;4.769
15:15;4.314
15:30;5.021
15:45;5.015
16:00;4.805
16:15;4.542
16:30;4.355
16:45;3.998
17:00;3.655
17:15;3.273
17:30;2.928
17:45;2.551
18:00;2.150
18:15;1.738
18:30;1.334
18:45;0.909
19:00;0.631
19:15;0.417
19:30;0.363
19:45;0.337
20:00;0.304
20:15;0.276
20:30;0.244
20:45;0.203
21:00;0.165
21:15;0.123
21:30;0.082
21:45;0.054
22:00;0.025
22:15;0.000
22:30;0.000
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
