 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;0.000
08:30;0.001
08:45;0.059
09:00;0.126
09:15;0.187
09:30;0.376
09:45;0.866
10:00;1.050
10:15;1.049
10:30;0.987
10:45;1.133
11:00;1.486
11:15;1.482
11:30;1.954
11:45;2.051
12:00;1.749
12:15;1.525
12:30;1.412
12:45;1.372
13:00;1.442
13:15;1.406
13:30;1.736
13:45;1.932
14:00;1.968
14:15;1.870
14:30;1.933
14:45;2.677
15:00;2.702
15:15;1.367
15:30;0.929
15:45;0.943
16:00;0.934
16:15;0.751
16:30;0.549
16:45;0.456
17:00;0.297
17:15;0.265
17:30;0.395
17:45;0.422
18:00;0.307
18:15;0.133
18:30;0.088
18:45;0.057
19:00;0.003
19:15;0.000
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
