 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;0.000
07:15;0.000
07:30;0.000
07:45;0.015
08:00;0.007
08:15;0.065
08:30;0.235
08:45;0.328
09:00;0.578
09:15;0.939
09:30;1.179
09:45;2.639
10:00;2.001
10:15;1.495
10:30;0.945
10:45;0.938
11:00;3.001
11:15;2.798
11:30;1.713
11:45;3.612
12:00;3.463
12:15;3.355
12:30;4.295
12:45;5.018
13:00;2.854
13:15;2.110
13:30;0.657
13:45;1.567
14:00;2.237
14:15;1.759
14:30;1.580
14:45;1.278
15:00;1.602
15:15;1.327
15:30;0.668
15:45;0.559
16:00;0.742
16:15;0.682
16:30;0.820
16:45;0.813
17:00;0.772
17:15;0.552
17:30;0.506
17:45;0.673
18:00;0.395
18:15;0.217
18:30;0.197
18:45;0.154
19:00;0.078
19:15;0.062
19:30;0.052
19:45;0.024
20:00;0.003
20:15;0.000
20:30;0.000
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
