 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;0.000
06:00;0.000
06:15;0.042
06:30;0.084
06:45;0.134
07:00;0.192
07:15;0.323
07:30;0.314
07:45;0.373
08:00;0.794
08:15;0.813
08:30;0.952
08:45;1.218
09:00;1.306
09:15;1.671
09:30;2.626
09:45;3.025
10:00;3.765
10:15;2.674
10:30;2.777
10:45;2.408
11:00;2.962
11:15;3.218
11:30;3.821
11:45;1.446
12:00;1.076
12:15;2.661
12:30;2.017
12:45;1.522
13:00;3.416
13:15;3.383
13:30;1.447
13:45;0.558
14:00;0.415
14:15;0.481
14:30;0.428
14:45;0.612
15:00;0.800
15:15;1.141
15:30;0.932
15:45;1.607
16:00;1.629
16:15;1.906
16:30;0.928
16:45;0.355
17:00;0.788
17:15;1.658
17:30;0.534
17:45;1.619
18:00;0.927
18:15;0.918
18:30;1.198
18:45;0.948
19:00;0.866
19:15;0.865
19:30;0.861
19:45;0.782
20:00;0.431
20:15;0.230
20:30;0.166
20:45;0.106
21:00;0.174
21:15;0.131
21:30;0.066
21:45;0.032
22:00;0.009
22:15;0.000
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
