 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;0.000
06:30;0.005
06:45;0.061
07:00;0.127
07:15;0.225
07:30;0.412
07:45;0.689
08:00;0.833
08:15;0.891
08:30;1.599
08:45;1.373
09:00;1.362
09:15;1.674
09:30;1.798
09:45;1.870
10:00;1.956
10:15;2.638
10:30;2.826
10:45;2.023
11:00;2.577
11:15;2.166
11:30;2.455
11:45;4.067
12:00;3.586
12:15;3.712
12:30;4.840
12:45;3.963
13:00;3.087
13:15;2.309
13:30;2.681
13:45;3.312
14:00;3.529
14:15;3.109
14:30;4.103
14:45;3.652
15:00;4.257
15:15;2.670
15:30;2.109
15:45;1.986
16:00;1.988
16:15;2.307
16:30;2.887
16:45;2.584
17:00;1.694
17:15;1.518
17:30;1.742
17:45;2.037
18:00;2.097
18:15;1.578
18:30;1.311
18:45;1.031
19:00;0.639
19:15;0.473
19:30;0.413
19:45;0.447
20:00;0.348
20:15;0.247
20:30;0.173
20:45;0.121
21:00;0.122
21:15;0.040
21:30;0.008
21:45;0.000
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
