 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0.000
06:15;0.000
06:30;0.038
06:45;0.095
07:00;0.143
07:15;0.241
07:30;0.391
07:45;0.697
08:00;0.849
08:15;1.119
08:30;1.514
08:45;1.943
09:00;2.342
09:15;2.727
09:30;3.175
09:45;3.611
10:00;3.969
10:15;3.940
10:30;4.494
10:45;4.772
11:00;4.441
11:15;4.987
11:30;5.040
11:45;5.037
12:00;5.040
12:15;5.030
12:30;5.041
12:45;5.001
13:00;4.806
13:15;5.004
13:30;3.635
13:45;4.844
14:00;5.059
14:15;5.055
14:30;5.056
14:45;5.051
15:00;5.049
15:15;5.048
15:30;5.043
15:45;5.020
16:00;4.803
16:15;4.621
16:30;4.180
16:45;3.895
17:00;3.595
17:15;3.160
17:30;2.757
17:45;2.342
18:00;1.873
18:15;1.526
18:30;1.125
18:45;0.800
19:00;0.557
19:15;0.429
19:30;0.381
19:45;0.344
20:00;0.296
20:15;0.250
20:30;0.201
20:45;0.147
21:00;0.093
21:15;0.044
21:30;0.011
21:45;0.000
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
