 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;0.000
06:00;0.000
06:15;0.037
06:30;0.101
06:45;0.135
07:00;0.158
07:15;0.242
07:30;0.478
07:45;0.540
08:00;1.470
08:15;1.238
08:30;0.787
08:45;0.581
09:00;0.876
09:15;1.263
09:30;0.622
09:45;0.562
10:00;0.553
10:15;0.989
10:30;1.154
10:45;0.937
11:00;0.905
11:15;0.890
11:30;0.695
11:45;1.162
12:00;0.873
12:15;0.740
12:30;0.603
12:45;0.624
13:00;0.369
13:15;0.392
13:30;0.376
13:45;0.457
14:00;0.419
14:15;0.469
14:30;0.464
14:45;0.517
15:00;0.595
15:15;0.574
15:30;0.559
15:45;0.622
16:00;0.754
16:15;0.405
16:30;0.402
16:45;0.518
17:00;0.502
17:15;0.518
17:30;0.592
17:45;0.585
18:00;0.578
18:15;0.544
18:30;0.567
18:45;0.485
19:00;0.564
19:15;0.491
19:30;0.457
19:45;0.510
20:00;0.551
20:15;0.432
20:30;0.419
20:45;0.315
21:00;0.174
21:15;0.172
21:30;0.155
21:45;0.037
22:00;0.011
22:15;0.000
22:30;0.000
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
