 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;0.000
06:00;0.000
06:15;0.035
06:30;0.060
06:45;0.089
07:00;0.122
07:15;0.124
07:30;0.312
07:45;0.658
08:00;0.986
08:15;1.378
08:30;1.564
08:45;1.900
09:00;2.287
09:15;2.686
09:30;3.026
09:45;3.213
10:00;3.663
10:15;3.989
10:30;4.242
10:45;4.492
11:00;4.780
11:15;4.865
11:30;5.021
11:45;5.045
12:00;5.051
12:15;5.049
12:30;5.050
12:45;5.048
13:00;4.877
13:15;4.817
13:30;4.752
13:45;5.044
14:00;5.045
14:15;5.044
14:30;5.042
14:45;5.040
15:00;5.043
15:15;5.044
15:30;5.042
15:45;4.897
16:00;4.735
16:15;4.523
16:30;4.260
16:45;3.968
17:00;3.617
17:15;3.196
17:30;2.802
17:45;2.163
18:00;1.832
18:15;1.841
18:30;1.538
18:45;1.056
19:00;0.822
19:15;0.649
19:30;0.588
19:45;0.583
20:00;0.509
20:15;0.373
20:30;0.269
20:45;0.253
21:00;0.203
21:15;0.128
21:30;0.081
21:45;0.046
22:00;0.006
22:15;0.000
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
