 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0.000
06:15;0.001
06:30;0.057
06:45;0.099
07:00;0.147
07:15;0.229
07:30;0.346
07:45;0.611
08:00;0.951
08:15;1.127
08:30;1.260
08:45;1.670
09:00;1.984
09:15;2.332
09:30;2.701
09:45;3.277
10:00;3.408
10:15;3.141
10:30;1.865
10:45;2.792
11:00;4.870
11:15;4.803
11:30;5.025
11:45;5.039
12:00;5.032
12:15;5.037
12:30;5.040
12:45;5.043
13:00;5.042
13:15;5.043
13:30;5.045
13:45;5.045
14:00;5.046
14:15;5.045
14:30;5.042
14:45;5.040
15:00;5.025
15:15;5.016
15:30;4.993
15:45;4.574
16:00;4.677
16:15;4.122
16:30;3.766
16:45;3.760
17:00;3.478
17:15;3.035
17:30;2.582
17:45;2.597
18:00;2.112
18:15;1.743
18:30;1.361
18:45;1.014
19:00;0.730
19:15;0.535
19:30;0.446
19:45;0.390
20:00;0.392
20:15;0.370
20:30;0.316
20:45;0.232
21:00;0.166
21:15;0.127
21:30;0.074
21:45;0.020
22:00;0.000
22:15;0.000
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
