 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;0.000
06:00;0.000
06:15;0.020
06:30;0.057
06:45;0.097
07:00;0.124
07:15;0.192
07:30;0.342
07:45;0.643
08:00;1.000
08:15;1.387
08:30;1.665
08:45;1.915
09:00;2.212
09:15;2.637
09:30;2.972
09:45;3.338
10:00;3.722
10:15;2.901
10:30;4.334
10:45;4.470
11:00;4.778
11:15;4.860
11:30;4.885
11:45;4.187
12:00;4.527
12:15;4.795
12:30;4.713
12:45;4.486
13:00;5.011
13:15;5.033
13:30;5.033
13:45;5.033
14:00;5.036
14:15;5.036
14:30;5.035
14:45;5.031
15:00;5.035
15:15;5.034
15:30;5.032
15:45;4.969
16:00;4.760
16:15;4.510
16:30;4.236
16:45;3.879
17:00;3.607
17:15;3.244
17:30;2.876
17:45;2.497
18:00;2.102
18:15;1.609
18:30;1.269
18:45;0.870
19:00;0.545
19:15;0.350
19:30;0.313
19:45;0.318
20:00;0.358
20:15;0.294
20:30;0.349
20:45;0.352
21:00;0.249
21:15;0.145
21:30;0.090
21:45;0.051
22:00;0.012
22:15;0.000
22:30;0.000
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
