 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;
08:30;
08:45;0.000
09:00;0.016
09:15;0.067
09:30;0.060
09:45;0.085
10:00;0.086
10:15;0.232
10:30;0.446
10:45;0.799
11:00;1.052
11:15;2.173
11:30;1.017
11:45;1.188
12:00;2.190
12:15;2.673
12:30;2.815
12:45;2.908
13:00;3.296
13:15;3.910
13:30;4.847
13:45;4.784
14:00;3.193
14:15;3.697
14:30;3.682
14:45;4.397
15:00;3.519
15:15;3.333
15:30;2.820
15:45;2.469
16:00;1.225
16:15;0.778
16:30;0.812
16:45;0.728
17:00;0.497
17:15;0.273
17:30;0.341
17:45;0.440
18:00;0.395
18:15;0.183
18:30;0.007
18:45;0.000
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
