 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;0.000
08:00;0.011
08:15;0.101
08:30;0.235
08:45;0.562
09:00;0.718
09:15;1.453
09:30;1.847
09:45;2.155
10:00;1.477
10:15;1.039
10:30;0.797
10:45;1.308
11:00;1.532
11:15;2.686
11:30;2.297
11:45;2.653
12:00;2.844
12:15;1.776
12:30;1.593
12:45;1.037
13:00;1.144
13:15;1.686
13:30;2.616
13:45;2.050
14:00;1.184
14:15;1.148
14:30;1.800
14:45;2.166
15:00;4.394
15:15;2.917
15:30;3.751
15:45;2.737
16:00;1.864
16:15;1.296
16:30;1.095
16:45;0.671
17:00;1.375
17:15;0.841
17:30;0.606
17:45;0.337
18:00;0.123
18:15;0.060
18:30;0.006
18:45;0.000
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
