 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;0.000
06:15;0.000
06:30;0.014
06:45;0.082
07:00;0.166
07:15;0.194
07:30;0.239
07:45;0.555
08:00;0.407
08:15;0.633
08:30;1.174
08:45;1.417
09:00;1.624
09:15;1.552
09:30;2.388
09:45;2.954
10:00;2.783
10:15;3.342
10:30;3.770
10:45;3.505
11:00;2.795
11:15;4.737
11:30;4.846
11:45;4.257
12:00;3.994
12:15;3.921
12:30;4.790
12:45;5.000
13:00;3.315
13:15;4.758
13:30;5.012
13:45;3.834
14:00;3.789
14:15;4.894
14:30;4.397
14:45;2.399
15:00;3.910
15:15;2.986
15:30;3.822
15:45;4.032
16:00;2.228
16:15;4.210
16:30;3.904
16:45;2.127
17:00;2.310
17:15;3.068
17:30;2.983
17:45;2.451
18:00;2.116
18:15;1.783
18:30;1.454
18:45;1.015
19:00;0.828
19:15;0.704
19:30;0.623
19:45;0.703
20:00;0.631
20:15;0.399
20:30;0.305
20:45;0.216
21:00;0.149
21:15;0.084
21:30;0.041
21:45;0.009
22:00;0.000
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
