 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;0.000
07:15;0.056
07:30;0.131
07:45;0.251
08:00;0.372
08:15;0.576
08:30;0.875
08:45;1.238
09:00;1.550
09:15;0.867
09:30;0.533
09:45;0.708
10:00;0.904
10:15;1.694
10:30;2.295
10:45;1.063
11:00;2.482
11:15;1.190
11:30;1.193
11:45;2.888
12:00;3.548
12:15;2.224
12:30;3.902
12:45;4.859
13:00;5.047
13:15;3.591
13:30;2.554
13:45;2.886
14:00;4.296
14:15;2.714
14:30;4.435
14:45;3.231
15:00;3.388
15:15;4.529
15:30;4.087
15:45;3.626
16:00;4.731
16:15;4.417
16:30;3.809
16:45;3.787
17:00;3.409
17:15;3.059
17:30;2.541
17:45;2.285
18:00;1.922
18:15;1.515
18:30;1.145
18:45;0.813
19:00;0.559
19:15;0.471
19:30;0.413
19:45;0.344
20:00;0.290
20:15;0.210
20:30;0.147
20:45;0.087
21:00;0.030
21:15;0.000
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
