 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;
08:30;0.000
08:45;0.012
09:00;0.091
09:15;0.341
09:30;0.793
09:45;1.334
10:00;2.162
10:15;2.954
10:30;3.474
10:45;3.822
11:00;4.064
11:15;4.425
11:30;4.680
11:45;4.965
12:00;5.029
12:15;5.042
12:30;4.776
12:45;1.979
13:00;1.343
13:15;2.061
13:30;0.771
13:45;2.145
14:00;1.851
14:15;1.032
14:30;2.412
14:45;1.685
15:00;0.897
15:15;3.912
15:30;1.133
15:45;0.920
16:00;0.967
16:15;1.663
16:30;0.678
16:45;0.417
17:00;0.253
17:15;0.118
17:30;0.079
17:45;0.009
18:00;0.000
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
