 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;0.000
07:45;0.000
08:00;0.063
08:15;0.284
08:30;0.410
08:45;0.662
09:00;0.888
09:15;1.464
09:30;2.085
09:45;1.357
10:00;1.529
10:15;2.138
10:30;2.306
10:45;1.763
11:00;3.910
11:15;4.097
11:30;3.412
11:45;1.491
12:00;3.547
12:15;2.202
12:30;1.189
12:45;3.450
13:00;2.140
13:15;3.487
13:30;3.700
13:45;2.702
14:00;4.473
14:15;5.027
14:30;5.034
14:45;2.240
15:00;0.364
15:15;0.245
15:30;0.194
15:45;0.335
16:00;0.823
16:15;1.740
16:30;3.745
16:45;3.713
17:00;2.490
17:15;0.998
17:30;2.732
17:45;1.103
18:00;2.211
18:15;0.605
18:30;0.230
18:45;0.479
19:00;0.400
19:15;0.334
19:30;0.202
19:45;0.072
20:00;0.018
20:15;0.000
20:30;0.000
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
