 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;0.000
08:30;0.002
08:45;0.063
09:00;0.281
09:15;0.720
09:30;1.292
09:45;1.943
10:00;1.949
10:15;2.899
10:30;3.773
10:45;4.104
11:00;3.567
11:15;4.607
11:30;5.009
11:45;5.020
12:00;5.011
12:15;4.898
12:30;4.963
12:45;5.016
13:00;3.873
13:15;4.315
13:30;3.659
13:45;4.745
14:00;4.526
14:15;2.884
14:30;2.560
14:45;3.132
15:00;2.421
15:15;2.862
15:30;2.193
15:45;3.266
16:00;1.524
16:15;0.611
16:30;0.617
16:45;0.691
17:00;0.400
17:15;0.275
17:30;0.097
17:45;0.007
18:00;0.000
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
