 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;
08:30;0.000
08:45;0.001
09:00;0.057
09:15;0.220
09:30;0.280
09:45;0.305
10:00;1.866
10:15;2.774
10:30;3.208
10:45;3.593
11:00;4.035
11:15;3.358
11:30;4.519
11:45;4.511
12:00;4.872
12:15;4.734
12:30;4.772
12:45;4.814
13:00;4.578
13:15;4.628
13:30;2.379
13:45;1.146
14:00;2.427
14:15;2.567
14:30;2.923
14:45;0.614
15:00;0.806
15:15;2.501
15:30;1.996
15:45;1.487
16:00;1.006
16:15;0.485
16:30;0.212
16:45;0.074
17:00;0.008
17:15;0.000
17:30;
17:45;
18:00;
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
