 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;0.000
06:00;0.000
06:15;0.045
06:30;0.078
06:45;0.124
07:00;0.185
07:15;0.224
07:30;0.302
07:45;0.802
08:00;1.164
08:15;1.028
08:30;1.360
08:45;1.731
09:00;2.169
09:15;2.215
09:30;2.430
09:45;3.203
10:00;3.283
10:15;3.417
10:30;4.074
10:45;4.458
11:00;4.950
11:15;5.035
11:30;4.893
11:45;4.719
12:00;4.857
12:15;4.997
12:30;4.282
12:45;4.391
13:00;3.985
13:15;4.293
13:30;4.389
13:45;4.833
14:00;4.828
14:15;5.021
14:30;5.042
14:45;4.961
15:00;4.899
15:15;4.688
15:30;3.614
15:45;2.430
16:00;2.109
16:15;2.165
16:30;2.655
16:45;2.653
17:00;2.914
17:15;2.711
17:30;2.144
17:45;1.071
18:00;0.933
18:15;0.997
18:30;0.762
18:45;0.844
19:00;0.742
19:15;0.875
19:30;0.754
19:45;0.609
20:00;0.435
20:15;0.325
20:30;0.320
20:45;0.220
21:00;0.154
21:15;0.109
21:30;0.082
21:45;0.027
22:00;0.000
22:15;0.000
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
