 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;
08:30;
08:45;0.000
09:00;0.000
09:15;0.009
09:30;0.065
09:45;0.411
10:00;1.376
10:15;1.641
10:30;2.731
10:45;1.939
11:00;2.608
11:15;0.640
11:30;0.560
11:45;0.507
12:00;0.404
12:15;0.201
12:30;0.181
12:45;0.620
13:00;0.581
13:15;0.836
13:30;1.686
13:45;1.419
14:00;0.652
14:15;0.734
14:30;0.576
14:45;0.599
15:00;0.821
15:15;0.658
15:30;1.235
15:45;0.563
16:00;0.540
16:15;0.554
16:30;0.258
16:45;0.076
17:00;0.005
17:15;0.000
17:30;
17:45;
18:00;
18:15;
18:30;
18:45;
19:00;
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
