 ;Tribout Peter Brugge / Power / Mean Values  [kW]0
00:15;
00:30;
00:45;
01:00;
01:15;
01:30;
01:45;
02:00;
02:15;
02:30;
02:45;
03:00;
03:15;
03:30;
03:45;
04:00;
04:15;
04:30;
04:45;
05:00;
05:15;
05:30;
05:45;
06:00;
06:15;
06:30;
06:45;
07:00;
07:15;
07:30;
07:45;
08:00;
08:15;0.000
08:30;0.006
08:45;0.108
09:00;0.225
09:15;0.442
09:30;0.833
09:45;1.218
10:00;1.439
10:15;1.907
10:30;2.799
10:45;3.031
11:00;3.570
11:15;2.954
11:30;3.607
11:45;4.176
12:00;4.338
12:15;4.529
12:30;4.199
12:45;3.250
13:00;2.897
13:15;4.857
13:30;5.008
13:45;5.033
14:00;5.035
14:15;5.034
14:30;4.290
14:45;4.978
15:00;4.990
15:15;4.673
15:30;3.891
15:45;2.071
16:00;1.188
16:15;0.981
16:30;0.931
16:45;0.923
17:00;0.843
17:15;0.731
17:30;0.842
17:45;0.614
18:00;0.345
18:15;0.263
18:30;0.069
18:45;0.006
19:00;0.000
19:15;
19:30;
19:45;
20:00;
20:15;
20:30;
20:45;
21:00;
21:15;
21:30;
21:45;
22:00;
22:15;
22:30;
22:45;
23:00;
23:15;
23:30;
23:45;
00:00;
